"iyy","lat","lon","x_sum","y_sum","z_sum","x_3yr","y_3yr","z_3yr","lat_3yr","lon_3yr","events_per_year"
1970,30.6498725459418,-80.1789925693245,629.927655011422,-3638.93692601725,3247.87493922955,NA,NA,NA,NA,NA,651
1971,35.9719768154258,-62.4017806813023,1252.6191108682,-2396.2207493771,3742.25846850964,NA,NA,NA,NA,NA,470
1972,43.3143227108958,-13.0258938620929,3042.44175364764,-703.851442392287,4370.50765016979,1641.66283984242,-2246.33637259554,3786.88035263633,36.4694010466863,-53.8399966516114,494
1973,30.9078645621819,-24.0053724440732,3072.2213233325,-1368.1862518542,3272.52166329654,2356.94208158746,-1807.26131222487,3529.70100796643,33.6436689691042,-37.4803495971224,473
1974,30.6932751827566,-26.181793059476,2809.20734667471,-1381.19273102969,3252.02593969686,2583.07471413109,-1594.22702162728,3390.86347383165,32.1565288501342,-31.682134668183,580
1975,36.2671473741946,-23.0768295394223,2742.50181533243,-1168.4655345654,3768.77124973683,2662.78826473176,-1381.34627809634,3579.81736178424,34.1867806817169,-27.4184486469906,740
1976,34.3474671602596,-17.9131737174278,3199.38684156045,-1034.18621380365,3594.58346074363,2931.0875531461,-1207.76624595,3587.20041126394,34.2670855420701,-22.3943042584218,923
1977,35.7380956678731,-5.97892531378711,3481.48833003541,-364.624501865721,3721.18025787666,3206.28794159076,-786.195373907858,3654.1903345703,34.9992848356682,-13.7773392063484,1319
1978,27.5110128191943,-24.8590951709928,2789.89501949002,-1292.60601797435,2942.8865670929,2998.09148054039,-1039.4006959411,3298.5384508316,31.1809546595422,-19.1207894632193,1526
1979,26.2974047207898,-22.0326638295793,2786.58074181611,-1127.70005119736,2822.54784410437,2892.33611117825,-1083.55037356923,3060.54314746799,28.7106557303846,-20.537361541591,2661
1980,20.6615508922117,-50.9370963644846,2002.1886122822,-2466.95426171216,2247.98837631955,2447.26236173023,-1775.25231764069,2654.26576189377,24.6211766951252,-35.9572570562697,2663
1981,18.2837616284375,-60.0841630723792,1756.67745098834,-3053.00262671481,1998.7315507141,2101.96990635928,-2414.12747217775,2326.49865630394,21.4180508302412,-48.954057506753,2585
1982,15.1829700621496,-63.4227231556446,1743.32347191374,-3484.7878015375,1668.57978693146,1922.64668913651,-2949.45763685763,1997.5392216177,18.2724689889679,-56.9010981840776,2545
1983,12.0108124760859,-56.5330763545668,2088.84130598373,-3159.85683114361,1325.78137811636,2005.74399756012,-3054.65723400062,1661.66029986703,15.118500765507,-56.7103626241096,2870
1984,5.81233915963887,-53.2912900211914,2055.80879026409,-2757.20423828381,645.194682429218,2030.77639391211,-2905.93073614221,1153.42749114812,10.4305407019323,-55.0526664158881,3494
1985,8.47542656732151,-57.8217141478168,1796.68084498381,-2855.48014795582,938.991244241683,1913.72861944796,-2880.70544204902,1046.2093676949,9.45159517826829,-56.4028632862927,2915
1986,6.86720789453497,-46.2050070627544,2078.45618614623,-2167.77325363372,761.771768313154,1996.09240279709,-2524.23934784137,903.990568004029,8.15731239167257,-51.6641150115941,2860
1987,7.67718616758149,-49.343444805143,1859.86613327938,-2165.61321781495,851.112010935718,1927.97926803824,-2344.92628282816,877.551289469873,7.9171793395973,-50.573236248281,3184
1988,10.3965456362798,-13.3130298397319,1899.30701968618,-449.433243117492,1149.70967490576,1913.64314386221,-1397.17976297283,1013.63048218782,9.15470079360006,-36.1337461923635,3721
1989,10.0158618911602,-17.9759445295984,1906.07957199216,-618.438168137569,1108.04946381778,1909.86135792718,-1007.8089655552,1060.8399730028,9.58500812112826,-27.8200271450281,4322
1990,11.8287626672773,-1.20260755606866,1979.08658930223,-41.546063019942,1305.97485702563,1944.4739736147,-524.67751428757,1183.40741501422,10.7048087595479,-15.1004990726151,3887
1991,15.2270389395556,-25.618413545677,2138.21346579822,-1025.30528720331,1673.30848274857,2041.34371970646,-774.991400745442,1428.35794888139,12.9556528756913,-20.789149459578,4683
1992,17.4931091656488,4.72792499924511,2750.14999669934,227.452978850405,1915.0658722353,2395.7468582029,-273.769210947518,1671.71191055835,15.2121587233486,-6.51908338123314,5073
1994,23.0034494940594,18.8781854569221,3030.75622812767,1036.37077481667,2489.70108967797,2713.25154316528,381.300781934575,2080.70650011816,19.0619478378014,7.99954743241499,3458
1995,22.8146956316287,40.137827253223,2459.86716391971,2074.17765782674,2470.36811790661,2586.5593535425,1227.73921988066,2275.53730901238,20.9265671130749,25.3918750817534,3081
1996,21.5851802651388,28.0822416576983,2213.64920841365,1181.0970342735,2343.78928726511,2400.10428097807,1204.41812707708,2309.66329813875,21.2555055665594,26.6483710707288,3056
1997,20.988097139997,1.15752065145201,2586.02321424225,52.2513631748458,2281.92652845508,2493.06374761016,628.334745125961,2295.79491329691,21.1217410879223,14.1458301877092,3200
1998,26.8049038595826,22.7750724575417,3149.5671847674,1322.3440217325,2873.02751424959,2821.31546618878,975.339383429232,2584.41121377325,23.9320141121176,19.0704604521339,933
1999,25.7433831532297,29.7371991847744,2788.32782478824,1592.834295022,2767.18801891912,2804.82164548851,1284.08683922561,2675.79961634619,24.8343854956693,24.5989737054849,1396
2000,23.3219521778184,43.1569850882519,2282.44534485363,2140.13649185091,2522.26211261141,2543.63349517107,1712.11166553826,2599.0308644788,24.0759388331876,33.9443723400915,1813
2001,25.0383243987391,36.262445072687,2570.98460189671,1885.98270880661,2696.36255427243,2557.30904853389,1799.04718717243,2647.69670937561,24.5562083388257,35.1260907378279,1908
2002,24.7342323488621,37.3784713700088,2600.10198350825,1986.38045055433,2665.68885505244,2578.70551602107,1892.71381886338,2656.69278221403,24.6451886219528,36.277860002164,1332
2003,25.7284615498559,48.3547675868135,2178.99234933543,2450.35911302064,2765.69339740188,2378.84893267825,2171.53646594201,2711.19308980796,25.1856211108889,42.391447036235,1262
2004,28.4386163067803,53.8425187188512,2509.65446745721,3434.35260951924,3033.97830336983,2444.25170006773,2802.94453773063,2872.58569658889,26.8004522366465,48.9105956997256,1161
2005,27.2805268521626,55.305570475744,2545.41910702374,3676.81576348104,2920.13200644923,2494.83540354574,3239.88015060583,2896.35885151906,27.0402329022822,52.40231127939,2011
2006,26.6468231739876,57.0022784279506,2517.07586094974,3876.29438622627,2857.32760902403,2505.95563224774,3558.08726841605,2876.84323027155,26.8433571527957,54.8430196818451,2751
2007,25.6918758971435,56.6308644660242,2603.9293341876,3953.69884073112,2762.02800408042,2554.94248321767,3755.89305457359,2819.43561717598,26.2661889255734,55.7745434737227,3241
2008,26.1106798248092,60.0411338052917,2226.64930979538,3863.07192454735,2803.91884821967,2390.79589650652,3809.48248956047,2811.67723269783,26.1884084276327,57.8879992012127,4787
2009,26.0017290669171,62.6810689515174,2069.91458565347,4007.13692946654,2793.03538018272,2230.35524108,3908.3097095135,2802.35630644027,26.0950315091189,60.2878922416917,4721
2010,26.3978785004908,60.5585121202801,2256.94373878581,3998.65705496792,2832.55942625695,2243.6494899329,3953.48338224071,2817.45786634861,26.2463563448898,60.4245669378691,4821
2011,26.3802668221066,58.8222837970591,2480.13508992729,4098.78658182678,2830.80516165763,2361.89228993009,4026.13498203375,2824.13151400312,26.3132922370974,59.6024040564579,5067
2012,25.9117202851963,56.1717987831058,2670.51774580539,3984.92744097395,2784.03647176854,2516.20501786774,4005.53121150385,2804.08399288583,26.1123338139184,57.8636764777522,8498
2013,26.3070842675352,58.1066084930457,2511.52767254265,4035.97549323899,2823.51272854944,2513.8663452052,4020.75335237142,2813.79836071764,26.2096683074965,57.9854413440845,11990
2014,26.1671193085405,51.0038306236413,3020.02685097376,3729.93242971228,2809.55279952375,2766.94659808948,3875.34289104185,2811.67558012069,26.1883918655101,54.4736356727021,16840
2015,26.2040192007454,51.9781543725354,2913.60290328999,3726.31227078598,2813.23477919907,2840.27475068973,3800.82758091391,2812.45517965988,26.1962052710057,53.2300474640165,14806
